id,brand,product_name,category
M001,Bioderma,Sensibio H2O Micellar Water,Micellar
M002,Bioderma,Sensibio Lait,Micellar

C001,Bioderma,Atoderm Intensive Gel Moussant,Cleanser
C002,Aminu,Cream Cleanser,Cleanser
C003,Aminu,Melting Balm,Cleanser
C004,Bioderma,Pigmentbio Foaming Cream,Cleanser
C005,Bioderma,Sensibio Gel Moussant,Cleanser
C006,Suganda,Squalane Cleansing Oil,Cleanser
C007,Bioderma,Sebium Gel Moussant,Cleanser
C008,Cetaphil,Gentle Skin Cleanser,Cleanser
C009,Cetaphil,Oily Skin Cleanser,Cleanser
C010,CeraVe,Foaming Cleanser,Cleanser
C011,CeraVe,SA Smoothing Cleanser,Cleanser
C012,CeraVe,Hydrating Facial Cleanser,Cleanser
C013,Minimalist,Salicylic + LHA Cleanser,Cleanser

MS001,One Thing,Centella Asiatica Extract,Mist
MS002,One Thing,Hyaluronic Acid Complex,Mist
MS003,One Thing,Niacinamide 10% Concentrate,Mist

T001,Paula's Choice,Skin Balancing Pore Reducing Toner,Toner
T002,The Ordinary,Glycolic Acid 7% Toning Solution,Toner
T003,SkinCeuticals,Blemish + Age Defense Toner,Toner
T004,Minimalist,PHA Face Toner,Toner
T005,Skin1004,Madagascar Centella Toning Toner,Toner
T006,Dermatouch,Niacinamide Brightening Toner,Toner
T007,Dermalogica,Multi-Active Toner,Toner
T008,Tony Moly,Wonder Ceramide Mochi Toner,Toner
T009,Avene,Thermal Spring Toner,Toner

E001,Bioderma,Sebium Night Peel,Exfoliator
E002,Gunam,Daily Liquid Exfoliant,Exfoliator
E003,Bioderma,Pigmentbio Foaming Cream,Exfoliator
E004,Paula's Choice,2% BHA Liquid Exfoliant,Exfoliator
E005,SkinCeuticals,Blemish + Age Defense Exfoliator,Exfoliator
E006,The Ordinary,AHA 30% + BHA 2% Peeling Solution,Exfoliator
E007,The Ordinary,Lactic Acid 10% + HA,Exfoliator
E008,Formula RX,6% AHA + BHA Exfoliator,Exfoliator
E009,COSRX,AHA BHA PHA Exfoliator,Exfoliator
E010,Minimalist,10% AHA + BHA Exfoliator,Exfoliator

S001,Suganda,2% Alpha Arbutin Serum,Serum
S002,Suganda,Advanced Pigmentation Serum,Serum
S003,COSRX,Advanced Snail 96 Mucin,Serum
S004,COSRX,Centella Aqua Soothing Ampoule,Serum
S005,Aminu,Copper Peptide Serum,Serum
S006,Aminu,Correcting Concentrate Serum,Serum
S007,One Thing,Green Tea Serum,Serum
S008,Sesderma,Hydraderm Hyal Serum,Serum
S009,Longivity,Anti-Ageing Serum,Serum
